month,year,Flow_Direction,nObs,sumMWh,meanMWh,dateFrom,dateTo,nDays,source
1,2015,I,32550,342483.1373456,10.9601618454173,2015-01-01,2015-01-31,31,2015_01_embeddedGen.csv
1,2015,X,70000,5857.3364823,0.0871627452723214,2015-01-01,2015-01-31,31,2015_01_embeddedGen.csv
2,2015,I,30800,333865.2162514,11.2914372379397,2015-02-01,2015-02-28,28,2015_02_embeddedGen.csv
2,2015,X,69550,5102.3203961,0.0764186495941169,2015-02-01,2015-02-28,28,2015_02_embeddedGen.csv
3,2015,I,34100,338090.2638305,10.3277817641282,2015-03-01,2015-03-31,31,2015_03_embeddedGen.csv
3,2015,X,74400,4447.9724633,0.062275600124608,2015-03-01,2015-03-31,31,2015_03_embeddedGen.csv
4,2015,I,33000,379114.3633284,11.9503960196823,2015-04-01,2015-04-30,30,2015_04_embeddedGen.csv
4,2015,X,71600,4043.0070556,0.058740731324461,2015-04-01,2015-04-30,30,2015_04_embeddedGen.csv
5,2015,I,34100,407407.7611699,12.4452517463924,2015-05-01,2015-05-31,31,2015_05_embeddedGen.csv
5,2015,X,74400,4947.4072854,0.06926813515625,2015-05-01,2015-05-31,31,2015_05_embeddedGen.csv
6,2015,I,32950,402128.0705661,12.7126982348919,2015-06-01,2015-06-30,30,2015_06_embeddedGen.csv
6,2015,X,73100,4687.1499144,0.0667913519493844,2015-06-01,2015-06-30,30,2015_06_embeddedGen.csv
7,2015,I,34100,419480.5746211,12.8140449236651,2015-07-01,2015-07-31,31,2015_07_embeddedGen.csv
7,2015,X,72850,4658.7982282,0.0666151656972089,2015-07-01,2015-07-31,31,2015_07_embeddedGen.csv
8,2015,I,34100,446504.9126426,13.6395684458272,2015-08-01,2015-08-31,31,2015_08_embeddedGen.csv
8,2015,X,72850,5186.7037889,0.0741635751101007,2015-08-01,2015-08-31,31,2015_08_embeddedGen.csv
9,2015,I,34500,446210.2477483,13.4912695092308,2015-09-01,2015-09-30,30,2015_09_embeddedGen.csv
9,2015,X,71500,5263.3785147,0.0767883186668417,2015-09-01,2015-09-30,30,2015_09_embeddedGen.csv
10,2015,I,35650,477725.0893546,13.9587742331288,2015-10-01,2015-10-31,31,2015_10_embeddedGen.csv
10,2015,X,72700,5370.6734476,0.0769525654458964,2015-10-01,2015-10-31,31,2015_10_embeddedGen.csv
11,2015,I,34500,416401.7545645,12.5725167440972,2015-11-01,2015-11-30,30,2015_11_embeddedGen.csv
11,2015,X,72000,5245.0375448,0.0758830663310185,2015-11-01,2015-11-30,30,2015_11_embeddedGen.csv
12,2015,I,35650,392796.9057748,11.4772354422277,2015-12-01,2015-12-31,31,2015_12_embeddedGen.csv
12,2015,X,73700,5590.9549689,0.0790218646667232,2015-12-01,2015-12-31,31,2015_12_embeddedGen.csv
1,2016,I,35650,399512.9563884,11.6734734802595,2016-01-01,2016-01-31,31,2016_01_embeddedGen.csv
1,2016,X,73950,5299.8234208,0.0746538119900834,2016-01-01,2016-01-31,31,2016_01_embeddedGen.csv
2,2016,I,33200,360891.0771098,11.3231387145394,2016-02-01,2016-02-29,29,2016_02_embeddedGen.csv
2,2016,X,69600,4794.543155,0.0717574107249761,2016-02-01,2016-02-29,29,2016_02_embeddedGen.csv
3,2016,I,34100,373637.4796884,11.4136571263563,2016-03-01,2016-03-31,31,2016_03_embeddedGen.csv
3,2016,X,74300,5001.6817921,0.0701222772557761,2016-03-01,2016-03-31,31,2016_03_embeddedGen.csv
4,2016,I,33000,387658.2496212,12.2197153455176,2016-04-01,2016-04-30,30,2016_04_embeddedGen.csv
4,2016,X,71900,4513.4052996,0.0652981090798611,2016-04-01,2016-04-30,30,2016_04_embeddedGen.csv
5,2016,I,34850,432372.162767,12.9236060128826,2016-05-01,2016-05-31,31,2016_05_embeddedGen.csv
5,2016,X,73450,4819.6493517,0.068352186176821,2016-05-01,2016-05-31,31,2016_05_embeddedGen.csv
6,2016,I,34500,418663.0975153,12.6407940071045,2016-06-01,2016-06-30,30,2016_06_embeddedGen.csv
6,2016,X,70500,4908.0967122,0.0725191594592199,2016-06-01,2016-06-30,30,2016_06_embeddedGen.csv
7,2016,I,35650,471059.1734869,13.7640010953395,2016-07-01,2016-07-31,31,2016_07_embeddedGen.csv
7,2016,X,74750,6957.6994707,0.0969579078971572,2016-07-01,2016-07-31,31,2016_07_embeddedGen.csv
8,2016,I,35650,449603.0646989,13.1370694453863,2016-08-01,2016-08-31,31,2016_08_embeddedGen.csv
8,2016,X,75700,6371.1578998,0.087670050360524,2016-08-01,2016-08-31,31,2016_08_embeddedGen.csv
9,2016,I,34500,433952.4114405,13.1206510080577,2016-09-01,2016-09-30,30,2016_09_embeddedGen.csv
9,2016,X,95500,7833.0883312,0.0855607682271983,2016-09-01,2016-09-30,30,2016_09_embeddedGen.csv
10,2016,I,35650,410716.4852982,12.0008323193724,2016-10-01,2016-10-31,31,2016_10_embeddedGen.csv
10,2016,X,97450,11605.5829149,0.124054888349795,2016-10-01,2016-10-31,31,2016_10_embeddedGen.csv
11,2016,I,34500,464976.887894,14.0391572431763,2016-11-01,2016-11-30,30,2016_11_embeddedGen.csv
11,2016,X,95150,7675.9681005,0.0840336322090121,2016-11-01,2016-11-30,30,2016_11_embeddedGen.csv
12,2016,I,35650,417888.0632588,12.2103805300023,2016-12-01,2016-12-31,31,2016_12_embeddedGen.csv
12,2016,X,101950,8970.8221083,0.09165871861513,2016-12-01,2016-12-31,31,2016_12_embeddedGen.csv
1,2017,I,35650,463579.9828848,13.545464670547,2017-01-01,2017-01-31,31,2017_01_embeddedGen.csv
1,2017,X,102200,8790.9619821,0.0896012922180773,2017-01-01,2017-01-31,31,2017_01_embeddedGen.csv
2,2017,I,32200,373618.8448005,12.0865309523971,2017-02-01,2017-02-28,28,2017_02_embeddedGen.csv
2,2017,X,96000,7967.0423619,0.0864479422949219,2017-02-01,2017-02-28,28,2017_02_embeddedGen.csv
3,2017,I,35650,401036.2741172,11.7179836990767,2017-03-01,2017-03-31,31,2017_03_embeddedGen.csv
3,2017,X,105150,7571.9987606,0.075011875501268,2017-03-01,2017-03-31,31,2017_03_embeddedGen.csv
4,2017,I,33900,394588.0220397,12.1076410567567,2017-04-01,2017-04-30,30,2017_04_embeddedGen.csv
4,2017,X,101500,7373.4844866,0.0755650298899342,2017-04-01,2017-04-30,30,2017_04_embeddedGen.csv
5,2017,I,35600,410014.7618961,11.9971547839449,2017-05-01,2017-05-31,31,2017_05_embeddedGen.csv
5,2017,X,106300,8521.9446531,0.0835091785542098,2017-05-01,2017-05-31,31,2017_05_embeddedGen.csv
6,2017,I,34500,436506.4910098,13.1795438106824,2017-06-01,2017-06-30,30,2017_06_embeddedGen.csv
6,2017,X,106850,6601.2853088,0.0643550665730775,2017-06-01,2017-06-30,30,2017_06_embeddedGen.csv
7,2017,I,35650,472735.4981807,13.8129820646535,2017-07-01,2017-07-31,31,2017_07_embeddedGen.csv
7,2017,X,111650,7111.24673,0.0663461592215256,2017-07-01,2017-07-31,31,2017_07_embeddedGen.csv
8,2017,I,35650,459494.4975402,13.4260898065743,2017-08-01,2017-08-31,31,2017_08_embeddedGen.csv
8,2017,X,105500,7917.6207593,0.0781755604196288,2017-08-01,2017-08-31,31,2017_08_embeddedGen.csv
9,2017,I,34300,422220.8490329,12.8404856466425,2017-09-01,2017-09-30,30,2017_09_embeddedGen.csv
9,2017,X,107100,8331.5489637,0.0811472355043245,2017-09-01,2017-09-30,30,2017_09_embeddedGen.csv
10,2017,I,37200,458806.8349271,12.84741361243,2017-10-01,2017-10-31,31,2017_10_embeddedGen.csv
10,2017,X,113000,8290.3093432,0.0764224681342183,2017-10-01,2017-10-31,31,2017_10_embeddedGen.csv
11,2017,I,36000,381422.9875749,11.0365447793663,2017-11-01,2017-11-30,30,2017_11_embeddedGen.csv
11,2017,X,109150,9176.3405966,0.0875738719327378,2017-11-01,2017-11-30,30,2017_11_embeddedGen.csv
12,2017,I,37100,385587.4354031,10.8262420092964,2017-12-01,2017-12-31,31,2017_12_embeddedGen.csv
12,2017,X,112650,9188.9781719,0.0849698381038246,2017-12-01,2017-12-31,31,2017_12_embeddedGen.csv
1,2018,I,37200,360657.8787032,10.099066943974,2018-01-01,2018-01-31,31,2018_01_embeddedGen.csv
1,2018,X,120350,8028.1060304,0.0694857536213821,2018-01-01,2018-01-31,31,2018_01_embeddedGen.csv
2,2018,I,33600,380595.4433328,11.799213893006,2018-02-01,2018-02-28,28,2018_02_embeddedGen.csv
2,2018,X,108350,6915.2756977,0.0664828074305876,2018-02-01,2018-02-28,28,2018_02_embeddedGen.csv
3,2018,I,37200,400459.6162014,11.2135869232023,2018-03-01,2018-03-31,31,2018_03_embeddedGen.csv
3,2018,X,120750,8662.0905051,0.0747247283048654,2018-03-01,2018-03-31,31,2018_03_embeddedGen.csv
4,2018,I,44900,452100.1562708,10.4769224200686,2018-04-01,2018-04-30,30,2018_04_embeddedGen.csv
4,2018,X,143700,8793.8932427,0.0636712660751263,2018-04-01,2018-04-30,30,2018_04_embeddedGen.csv
5,2018,I,48050,457328.5565627,9.91433742114768,2018-05-01,2018-05-31,31,2018_05_embeddedGen.csv
5,2018,X,151350,12403.5629415,0.0853675458477866,2018-05-01,2018-05-31,31,2018_05_embeddedGen.csv
6,2018,I,46500,427930.2563388,9.58625126206989,2018-06-01,2018-06-30,30,2018_06_embeddedGen.csv
6,2018,X,144000,9705.8247713,0.0702099592831308,2018-06-01,2018-06-30,30,2018_06_embeddedGen.csv
7,2018,I,48050,490069.9161318,10.6241310295656,2018-07-01,2018-07-31,31,2018_07_embeddedGen.csv
7,2018,X,148800,11512.8359374,0.0805950096424171,2018-07-01,2018-07-31,31,2018_07_embeddedGen.csv
8,2018,I,49600,437544.4282914,9.18902109146925,2018-08-01,2018-08-31,31,2018_08_embeddedGen.csv
8,2018,X,142900,11003.6111531,0.0802106014775776,2018-08-01,2018-08-31,31,2018_08_embeddedGen.csv
9,2018,I,48150,426717.0464153,9.24470398230643,2018-09-01,2018-09-30,30,2018_09_embeddedGen.csv
9,2018,X,138600,12221.4975986,0.0919794809937383,2018-09-01,2018-09-30,30,2018_09_embeddedGen.csv
10,2018,I,52150,394080.8632195,7.87154169102549,2018-10-01,2018-10-31,31,2018_10_embeddedGen.csv
10,2018,X,143100,11402.2717617,0.0830004641400245,2018-10-01,2018-10-31,31,2018_10_embeddedGen.csv
11,2018,I,51000,416012.4063599,8.49698542401757,2018-11-01,2018-11-30,30,2018_11_embeddedGen.csv
11,2018,X,137450,10449.9200158,0.0791948588562508,2018-11-01,2018-11-30,30,2018_11_embeddedGen.csv
12,2018,I,52700,427646.2043397,8.45284243239445,2018-12-01,2018-12-31,31,2018_12_embeddedGen.csv
12,2018,X,143800,10449.2412316,0.0756928114250116,2018-12-01,2018-12-31,31,2018_12_embeddedGen.csv
1,2019,I,38750,436363.0855969,11.7301904730349,2019-01-01,2019-01-31,31,2019_01_embeddedGen.csv
1,2019,X,118550,8768.2812808,0.0770445072472937,2019-01-01,2019-01-31,31,2019_01_embeddedGen.csv
2,2019,I,35000,369040.2960407,10.9833421440685,2019-02-01,2019-02-28,28,2019_02_embeddedGen.csv
2,2019,X,110100,8570.9114003,0.0810902153373827,2019-02-01,2019-02-28,28,2019_02_embeddedGen.csv
3,2019,I,38750,379275.3467856,10.1955738383226,2019-03-01,2019-03-31,31,2019_03_embeddedGen.csv
3,2019,X,121750,8438.8719653,0.0722011632896988,2019-03-01,2019-03-31,31,2019_03_embeddedGen.csv
4,2019,I,37500,387724.8697592,10.7551974967878,2019-04-01,2019-04-30,30,2019_04_embeddedGen.csv
4,2019,X,116200,8738.6661075,0.0782277554651413,2019-04-01,2019-04-30,30,2019_04_embeddedGen.csv
5,2019,I,38750,434898.10224,11.6908092,2019-05-01,2019-05-31,31,2019_05_embeddedGen.csv
5,2019,X,120400,9738.3550928,0.084253487444629,2019-05-01,2019-05-31,31,2019_05_embeddedGen.csv
6,2019,I,37500,414310.5418415,11.5086261622639,2019-06-01,2019-06-30,30,2019_06_embeddedGen.csv
6,2019,X,117600,7289.0428022,0.0645642255013464,2019-06-01,2019-06-30,30,2019_06_embeddedGen.csv
7,2019,I,38750,456187.5274989,12.2631055779274,2019-07-01,2019-07-31,31,2019_07_embeddedGen.csv
7,2019,X,124400,9514.9782932,0.0796739205955252,2019-07-01,2019-07-31,31,2019_07_embeddedGen.csv
8,2019,I,38750,523477.8895914,14.0719862793387,2019-08-01,2019-08-31,31,2019_08_embeddedGen.csv
8,2019,X,127500,8486.289611,0.0693324314624183,2019-08-01,2019-08-31,31,2019_08_embeddedGen.csv
9,2019,I,36950,428536.8418317,12.0980419465784,2019-09-01,2019-09-30,30,2019_09_embeddedGen.csv
