year,coalCI,dieselCI,gasCI,gasOilCI,geolCI,hydroCI,windCI,woodCI,imputed
1990,,,,,,0,0,,from MBIE & EA data
1991,,,,,,0,0,,from MBIE & EA data
1992,,,,,,0,0,,from MBIE & EA data
1993,,,,,,0,0,,from MBIE & EA data
1994,,,,,,0,0,,from MBIE & EA data
1995,,,,,,0,0,,from MBIE & EA data
1996,,,,,,0,0,,from MBIE & EA data
1997,,,,,,0,0,,from MBIE & EA data
1998,,,,,,0,0,,from MBIE & EA data
1999,,,,,,0,0,,from MBIE & EA data
2000,,,,,,0,0,,from MBIE & EA data
2001,,,,,,0,0,,from MBIE & EA data
2002,,,,,,0,0,,from MBIE & EA data
2003,,,,,,0,0,,from MBIE & EA data
2004,,,,,,0,0,,from MBIE & EA data
2005,,,,,,0,0,,from MBIE & EA data
2006,,,,,,0,0,,from MBIE & EA data
2007,,,,,,0,0,,from MBIE & EA data
2008,,,,,,0,0,,from MBIE & EA data
2009,,,,,,0,0,,from MBIE & EA data
2010,495.10557590378,1126.589536884,533.885749045617,1.67e+08,142.916779463345,0,0,0.400385377331848,from MBIE & EA data
2011,792.066721449169,3005.55509493409,431.736478942004,Inf,124.227369075982,0,0,0.384954538447323,from MBIE & EA data
2012,911.106614883,1289.5401407748,418.03891347734,Inf,121.947793919325,0,0,0.357372742264644,from MBIE & EA data
2013,806.542369224652,1533.65651488029,455.662702223654,Inf,126.766050206349,0,0,0.327125115335683,from MBIE & EA data
2014,824.78209510571,1896.91615630589,437.698516329866,Inf,113.633769528179,0,0,0.345740777014711,from MBIE & EA data
2015,873.838204199195,1909.8524354413,459.090767388073,Inf,117.894787084563,0,0,0.402016532469406,from MBIE & EA data
2016,490.836741683755,1222.46311936633,473.809554835148,Inf,106.062655364342,0,0,0.410544352476123,from MBIE & EA data
2017,580.96634614758,895.272803083495,486.094486071033,Inf,111.165304697516,0,0,0.465665607459795,from MBIE & EA data
2018,792.340422502735,765.257971100879,498.543467964178,Inf,104.030411640428,0,0,0.547361158626368,from MBIE & EA data
2019,792.340422502735,765.257971100879,498.543467964178,Inf,104.030411640428,0,0,0.547361158626368,rolled forward
